Protein,3FE_09,4FE_10,8FE_11,34FM_13,35FM_14,38FM_15,51FL_17,69FL_18,70FL_19,2ME_23,7ME_24,9ME_25,41MM_27,42MM_28,46MM_29,65ML_31,67ML_32,68ML_33,34FM_37,35FM_38,38FM_39,51FL_41,69FL_42,70FL_43,3FE_45,4FE_46,8FE_47,41MM_51,42MM_52,46MM_53,65ML_55,67ML_56,68ML_57,2ME_59,7ME_60,9ME_61,70FL_65,51FL_61,69FL_67,38FM_69,35FM_70,34FM_71,8FE_73,3FE_74,4FE_75,68ML_79,67ML_80,65ML_81,46MM_81,42MM_84,41MM_85,9ME_87,7ME_88,2ME_89
ruditapes_c18346_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,2,0,1,1,0,1,1,1,0,0,0,1,1,3,1,2,0,1,1,2,1,1,1,1,1,1,0,0,0,1,2,2,2,1,1,1,1,1
ruditapes2_c2174_3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1
ruditapes_c16717_3,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0
ruditapes_c12057_3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes_c80_3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes_c7256_4,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
ruditapes2_c1058_2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes_c6982_2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes2_c3194_3,2,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0
ruditapes2_c3374_1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
ruditapes_c27958_3,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1
ruditapes_lrc39605_3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes_c31660_5,1,0,0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1
ruditapes_c28497_2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,2,1,1,1,1,1
ruditapes_c30277_4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
ruditapes2_c1098_5,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
ruditapes2_c2039_1,2,2,0,2,1,1,1,1,1,1,1,2,0,1,1,1,1,1,2,1,0,1,1,1,0,0,0,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,0,0,0,1,1,1,1,1,0,2,1,1
ruditapes_c30948_1,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes_c1210_3,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,2,1,1,1
ruditapes_c17113_3,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
ruditapes_c20309_3,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1
ruditapes_c18346_1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,4,3,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,3,1,2,1,0,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1
ruditapes_c11996_1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1
ruditapes_c31754_2,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1
ruditapes_c6989_5,1,1,0,1,1,0,1,1,1,1,1,1,1,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,2,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
ruditapes_c21050_2,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,0,0,0,1,2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1
ruditapes_c7257_3,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,2,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1
ruditapes_c2371_1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes2_c3117_1,2,0,0,2,1,1,2,1,1,1,1,1,3,1,1,3,1,1,1,2,0,0,1,1,1,1,1,3,1,2,3,1,1,1,2,2,1,3,1,0,2,2,1,1,1,3,2,2,1,1,3,1,1,1
ruditapes2_c2788_2,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,3,2,3,1,1,0,4,2,1,1,1,1,3,3,1,2,3,3,2,1,1,1,3,2,1,1,2,1,1,1,3,3,3,1,3,3,1,0,3
ruditapes_c24935_1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1
ruditapes_c29497_3,1,2,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1
ruditapes_s35737_1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1
ruditapes2_c126_4,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
ruditapes2_c1260_4,1,0,1,2,1,2,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,2,0,0,1,1,1,0,1,1,1,1,0,0,1,1
ruditapes_c21036_2,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0
ruditapes_c25855_2,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0
ruditapes_c20054_4,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1
ruditapes2_c3037_5,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
ruditapes_c7262_3,0,0,0,1,0,1,1,2,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
ruditapes_c7354_1,0,0,0,1,0,0,2,2,1,1,1,0,3,3,1,2,3,3,0,0,0,1,1,1,0,0,0,3,3,1,2,2,3,1,1,0,1,2,1,0,1,1,0,0,0,2,3,3,1,3,2,0,0,1
ruditapes2_c4041_6,1,0,0,1,1,1,1,0,1,1,1,2,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,2,0,1,1,2,1,4,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1
ruditapes_c266_3,0,1,0,1,1,1,0,0,1,1,1,1,0,2,1,0,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,2,1,1,1,2,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
ruditapes_c18658_6,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
ruditapes_c14905_6,0,0,0,0,0,0,3,1,2,1,1,0,4,1,1,5,4,2,1,1,0,3,1,1,0,0,0,5,0,0,6,4,2,1,0,0,2,3,1,0,0,1,0,0,0,1,4,4,1,0,5,0,1,1
ruditapes2_c250_1,0,0,1,2,1,1,1,2,2,1,1,1,2,1,0,1,1,1,1,0,1,1,2,1,1,0,0,1,0,0,1,1,1,0,1,0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1
ruditapes2_c304_3,1,1,0,2,1,1,1,2,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,2,1,1,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
ruditapes_c209_6,1,1,0,2,2,0,2,2,2,1,1,1,2,0,1,2,0,2,2,2,0,2,2,2,1,1,1,2,0,1,2,1,1,1,1,2,1,2,2,0,2,2,0,1,0,1,1,1,0,0,2,3,1,1
ruditapes2_lrc2606_4,0,0,0,0,0,2,0,3,2,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
ruditapes2_c4438_2,0,2,0,2,1,2,1,1,3,1,1,2,1,1,2,1,0,1,2,1,0,0,1,2,1,0,0,1,0,0,0,1,2,0,0,1,2,1,3,2,2,1,0,0,0,1,1,1,1,0,1,2,1,0
ruditapes2_c203_3,1,0,1,2,2,2,6,1,3,1,1,2,3,2,1,2,1,1,2,2,1,4,2,4,1,1,1,3,1,2,2,1,0,2,2,2,3,4,2,2,1,2,1,1,1,0,1,1,1,1,4,2,1,2
ruditapes_c10134_3,1,1,1,2,2,2,2,2,4,1,1,1,2,2,3,5,5,3,2,1,1,1,2,1,1,2,1,3,2,3,5,6,2,2,2,1,2,1,2,1,1,2,1,1,1,3,6,6,3,2,3,2,2,1
ruditapes2_c4994_2,0,0,0,5,3,3,6,5,7,1,1,0,3,0,1,5,2,3,5,1,1,6,6,7,0,0,0,2,2,0,5,0,3,0,2,0,6,5,5,3,1,4,0,0,0,4,2,2,1,0,3,0,3,0
ruditapes_c22866_3,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1
ruditapes2_c2459_2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes2_c2333_1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,2,1,1,1,0,1,1,1,0,0,1,1,0,0,0,2,1,1,0,1,0,1,1,1
ruditapes2_c2574_2,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1
ruditapes_c10067_3,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1
ruditapes2_lrc3829_4,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
ruditapes_c28940_5,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ruditapes_lrc36386_3,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ruditapes_lrc25909_1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1
